57, 'http://www.gamefy.cn/vlist.php?id=7&top=-1&time=&page=1&tags=', 'www.gamefy.cn', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
58, 'http://www.gamefy.cn/vplay.php?album_id=53&id=31713&class_id=7', 'www.gamefy.cn', '英雄联盟', '', '', '特殊处理', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
59, 'http://lol.g1080.com/', 'lol.g1080.com', '英雄联盟', '', '', '', 'list', 1, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
60, 'http://www.g1080.com/video/lol/index_1.html', 'www.g1080.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
61, 'http://v.youku.com/v_show/id_XNzM1NzkzNTY0.html', 'game.youku.com', '英雄联盟', '玛尔扎哈开大放安全套 来一发死一群', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
62, 'http://v.youku.com/v_show/id_XNzM1MDk2ODQw.html', 'game.youku.com', '英雄联盟', '十只喵星人的欢乐颂', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
63, 'http://v.youku.com/v_show/id_XNzM1Nzg0MjYw.html', 'game.youku.com', '英雄联盟', '打野锤石，不要怪我如此风骚', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
64, 'http://v.youku.com/v_show/id_XNzM1MDMwNTYw.html', 'game.youku.com', '英雄联盟', '不好意思，你这个号我要封！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
65, 'http://v.youku.com/v_show/id_XNzM1MjQ5MTQ0.html', 'game.youku.com', '英雄联盟', '35杀小鱼人，疯狂屠杀问你怕不怕！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
66, 'http://v.youku.com/v_show/id_XNzM1NTYzMTEy.html', 'game.youku.com', '英雄联盟', '逆天杰斯，杀翻全场', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
